epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6056.77,0.51881,2.53242,0.84014,0.53323,0.91667,0.55885,0.50818,0.44821,5.11869,0.73789,0.0005941,0.0005941,0.0005941
43,6193.45,0.50719,2.66976,0.84344,0.35562,0.91667,0.56811,0.51729,0.45925,5.24743,0.75405,0.0005842,0.0005842,0.0005842
44,6330.15,0.5126,2.1207,0.84916,0.35942,0.91667,0.63019,0.5844,0.42449,5.03431,0.75349,0.0005743,0.0005743,0.0005743
45,6461.83,0.47739,2.57653,0.81544,0.35942,0.91667,0.63019,0.5844,0.42449,5.03431,0.75349,0.0005644,0.0005644,0.0005644
46,6601.4,0.45011,2.26503,0.82279,0.51873,0.91667,0.66761,0.59425,0.44424,5.06683,0.75051,0.0005545,0.0005545,0.0005545
47,6740.53,0.49702,2.04294,0.81722,0.52221,0.88605,0.67967,0.59636,0.45574,4.86884,0.75859,0.0005446,0.0005446,0.0005446
48,6881.19,0.46718,1.94515,0.84838,0.53276,0.87357,0.71267,0.63712,0.45091,4.58628,0.76325,0.0005347,0.0005347,0.0005347
49,7020.32,0.45064,2.01032,0.81544,0.53276,0.87357,0.71267,0.63712,0.45091,4.58628,0.76325,0.0005248,0.0005248,0.0005248
50,7159.3,0.50233,2.19393,0.82019,0.52986,0.89267,0.65804,0.54896,0.48211,4.4376,0.76228,0.0005149,0.0005149,0.0005149
51,7302.23,0.47051,2.07836,0.81182,0.4765,0.91667,0.64322,0.55264,0.46141,4.33685,0.75816,0.000505,0.000505,0.000505
52,7444.71,0.44926,2.06226,0.82596,0.44572,0.91667,0.60929,0.56218,0.39363,4.22197,0.74205,0.0004951,0.0004951,0.0004951
53,7583.14,0.45326,1.93583,0.82485,0.44572,0.91667,0.60929,0.56218,0.39363,4.22197,0.74205,0.0004852,0.0004852,0.0004852
54,7723.5,0.47455,1.97776,0.82342,0.5322,0.83333,0.5987,0.54538,0.43319,4.13377,0.73702,0.0004753,0.0004753,0.0004753
55,7861.5,0.42969,2.31601,0.81242,0.58411,0.90308,0.64579,0.56782,0.48877,3.94706,0.74917,0.0004654,0.0004654,0.0004654
56,8004.06,0.43348,2.52408,0.80798,0.55801,0.83333,0.667,0.56661,0.51045,3.90011,0.76998,0.0004555,0.0004555,0.0004555
57,8159.03,0.48231,2.03626,0.81621,0.55801,0.83333,0.667,0.56661,0.51045,3.90011,0.76998,0.0004456,0.0004456,0.0004456
58,8308.99,0.45237,2.06468,0.84798,0.55527,0.83333,0.68801,0.59389,0.50905,3.76027,0.77614,0.0004357,0.0004357,0.0004357
59,8456.63,0.46307,1.9091,0.82779,0.58359,0.89082,0.69037,0.62017,0.497,3.63744,0.7801,0.0004258,0.0004258,0.0004258
60,8604.68,0.43293,1.80632,0.82743,0.57338,0.83333,0.71491,0.65031,0.4467,3.66339,0.76959,0.0004159,0.0004159,0.0004159
61,8743.84,0.47232,1.96907,0.82396,0.57338,0.83333,0.71491,0.65031,0.4467,3.66339,0.76959,0.000406,0.000406,0.000406
62,8876.66,0.4712,2.19523,0.808,0.45406,0.91667,0.72311,0.68512,0.39822,3.68647,0.75606,0.0003961,0.0003961,0.0003961
63,9016.31,0.4163,1.89459,0.82898,0.44051,0.91667,0.68481,0.64512,0.35628,3.66552,0.74349,0.0003862,0.0003862,0.0003862
64,9151.84,0.41562,1.9569,0.80343,0.44131,0.91667,0.6987,0.65511,0.3423,3.54912,0.74004,0.0003763,0.0003763,0.0003763
65,9291.03,0.43061,1.84145,0.81168,0.44131,0.91667,0.6987,0.65511,0.3423,3.54912,0.74004,0.0003664,0.0003664,0.0003664
