epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1398.93,0.61344,0.40313,0.89114,0.98426,1,0.98937,0.80905,0.68146,0.41008,0.87797,0.000816875,0.000816875,0.000816875
44,1430.5,0.61159,0.40919,0.89464,0.9811,1,0.98904,0.79841,0.78749,0.4443,0.8836,0.000806562,0.000806562,0.000806562
45,1461.93,0.61759,0.40328,0.88119,0.98252,1,0.98871,0.7805,0.7417,0.42206,0.85884,0.00079625,0.00079625,0.00079625
46,1493.67,0.56991,0.38678,0.88857,0.98437,1,0.98865,0.81456,0.7154,0.40526,0.85431,0.000785938,0.000785938,0.000785938
47,1525.32,0.56277,0.37617,0.88054,0.98382,1,0.98866,0.81447,0.70288,0.37359,0.86607,0.000775625,0.000775625,0.000775625
48,1557.1,0.54771,0.37499,0.8688,0.98191,1,0.99085,0.81116,0.6611,0.3828,0.86193,0.000765313,0.000765313,0.000765313
49,1588.92,0.55249,0.37464,0.87285,0.98317,1,0.98899,0.82618,0.66817,0.37837,0.86247,0.000755,0.000755,0.000755
50,1619.87,0.57099,0.36817,0.87019,0.98309,1,0.98792,0.7862,0.75828,0.37246,0.86655,0.000744688,0.000744688,0.000744688
51,1650.59,0.56684,0.3703,0.88491,0.98319,1,0.99051,0.8305,0.63141,0.36519,0.85561,0.000734375,0.000734375,0.000734375
52,1681.41,0.59072,0.36246,0.87943,0.98309,1,0.98686,0.8286,0.69197,0.38544,0.8461,0.000724062,0.000724062,0.000724062
53,1712.24,0.55551,0.35916,0.88688,0.98296,1,0.98776,0.83562,0.62472,0.38035,0.85567,0.00071375,0.00071375,0.00071375
54,1743,0.60001,0.3733,0.89801,0.98362,1,0.99051,0.83387,0.65479,0.42385,0.86021,0.000703437,0.000703437,0.000703437
55,1773.87,0.57301,0.36763,0.88656,0.98542,1,0.98864,0.7982,0.66135,0.36717,0.85473,0.000693125,0.000693125,0.000693125
56,1804.7,0.54557,0.36451,0.87609,0.98459,1,0.98922,0.82233,0.63093,0.39367,0.84124,0.000682813,0.000682813,0.000682813
57,1835.45,0.53311,0.35053,0.87318,0.98414,1,0.98961,0.80948,0.65883,0.377,0.8482,0.0006725,0.0006725,0.0006725
58,1866.12,0.55171,0.35391,0.87793,0.98448,1,0.98926,0.83302,0.6509,0.38731,0.84403,0.000662188,0.000662188,0.000662188
59,1896.92,0.5423,0.35376,0.85879,0.98224,1,0.99012,0.81566,0.61959,0.36212,0.83101,0.000651875,0.000651875,0.000651875
60,1927.5,0.54367,0.3476,0.87751,0.98234,1,0.98989,0.81649,0.62974,0.36882,0.84394,0.000641562,0.000641562,0.000641562
61,1958.04,0.53936,0.34911,0.87459,0.98256,1,0.98926,0.83104,0.59639,0.35487,0.84832,0.00063125,0.00063125,0.00063125
62,1988.69,0.51115,0.34806,0.86288,0.98279,1,0.98921,0.83342,0.60693,0.36845,0.8562,0.000620938,0.000620938,0.000620938
63,2019.44,0.54945,0.34558,0.87301,0.98243,1,0.98927,0.8241,0.6273,0.35171,0.83172,0.000610625,0.000610625,0.000610625
64,2049.91,0.50886,0.33588,0.86164,0.98398,1,0.9884,0.81452,0.61605,0.36177,0.83177,0.000600313,0.000600313,0.000600313
65,2080.56,0.49617,0.32805,0.87073,0.98481,1,0.98871,0.82872,0.62872,0.3694,0.84235,0.00059,0.00059,0.00059
66,2111.42,0.53167,0.34589,0.87748,0.98378,1,0.98889,0.81911,0.63608,0.34219,0.84554,0.000579688,0.000579688,0.000579688
67,2142.2,0.55559,0.3537,0.87369,0.98196,1,0.98908,0.84831,0.58373,0.35969,0.84419,0.000569375,0.000569375,0.000569375
68,2172.93,0.54509,0.35309,0.87955,0.98263,1,0.98879,0.83484,0.61751,0.35968,0.83764,0.000559062,0.000559062,0.000559062
69,2203.63,0.53519,0.33947,0.88039,0.98313,1,0.98822,0.82898,0.6139,0.35245,0.84147,0.00054875,0.00054875,0.00054875
70,2234.12,0.54089,0.34734,0.87095,0.98241,1,0.98921,0.84134,0.6039,0.36421,0.83593,0.000538438,0.000538438,0.000538438
71,2264.64,0.51064,0.32985,0.86629,0.9826,1,0.98822,0.86052,0.57001,0.35462,0.83324,0.000528125,0.000528125,0.000528125
72,2295.31,0.54073,0.33812,0.88006,0.98478,1,0.98831,0.84717,0.62907,0.34439,0.84376,0.000517813,0.000517813,0.000517813
73,2325.99,0.52423,0.33183,0.87352,0.98614,1,0.98769,0.83799,0.59831,0.34624,0.84281,0.0005075,0.0005075,0.0005075
74,2356.51,0.49944,0.32321,0.86166,0.98398,1,0.98954,0.83526,0.61125,0.34335,0.83386,0.000497188,0.000497188,0.000497188
75,2387.08,0.49905,0.3144,0.8781,0.98523,1,0.9875,0.85581,0.58852,0.35038,0.83072,0.000486875,0.000486875,0.000486875
76,2417.45,0.50527,0.31759,0.86508,0.98464,1,0.98916,0.86144,0.60018,0.33804,0.83432,0.000476562,0.000476562,0.000476562
77,2448.16,0.49517,0.31715,0.86541,0.9866,1,0.98936,0.8542,0.59548,0.3361,0.83301,0.00046625,0.00046625,0.00046625
78,2480.12,0.49923,0.31651,0.86901,0.98628,1,0.99018,0.83779,0.62664,0.33503,0.8361,0.000455937,0.000455937,0.000455937
79,2512.3,0.50962,0.31787,0.86338,0.98618,1,0.99075,0.82782,0.60514,0.32697,0.83007,0.000445625,0.000445625,0.000445625
80,2544.49,0.49171,0.31125,0.86903,0.98583,1,0.98961,0.82523,0.61219,0.3333,0.8369,0.000435312,0.000435312,0.000435312
81,2576.5,0.50145,0.31738,0.872,0.98457,1,0.98944,0.84427,0.57661,0.33897,0.84037,0.000425,0.000425,0.000425
82,2608.19,0.49029,0.31873,0.85666,0.98341,1,0.98864,0.85203,0.57483,0.34016,0.83917,0.000414688,0.000414688,0.000414688
83,2640.07,0.51113,0.32358,0.87116,0.98436,1,0.98905,0.84256,0.61363,0.34586,0.83609,0.000404375,0.000404375,0.000404375
84,2671.83,0.50543,0.32979,0.87033,0.98529,1,0.98904,0.83409,0.61362,0.32951,0.83488,0.000394063,0.000394063,0.000394063
85,2703.32,0.50675,0.31937,0.86013,0.98613,1,0.98936,0.84326,0.60715,0.3372,0.83129,0.00038375,0.00038375,0.00038375
86,2734.92,0.50899,0.32547,0.86208,0.98551,1,0.98905,0.8546,0.58517,0.32598,0.82686,0.000373437,0.000373437,0.000373437
87,2768,0.46999,0.30733,0.85023,0.98492,1,0.98934,0.84955,0.58036,0.34222,0.82973,0.000363125,0.000363125,0.000363125
88,2799.33,0.4886,0.31283,0.85941,0.98599,1,0.98949,0.82453,0.65046,0.32345,0.83606,0.000352812,0.000352812,0.000352812
89,2830.11,0.49517,0.30613,0.85268,0.98575,1,0.98792,0.82285,0.66186,0.32326,0.83826,0.0003425,0.0003425,0.0003425
90,2860.85,0.49775,0.31063,0.8665,0.98543,1,0.98849,0.84947,0.58693,0.31337,0.83704,0.000332187,0.000332187,0.000332187
91,2891.35,0.48802,0.3044,0.85018,0.9853,1,0.98865,0.85928,0.55985,0.3222,0.83935,0.000321875,0.000321875,0.000321875
92,2921.87,0.47614,0.30812,0.85261,0.98539,1,0.98943,0.85533,0.57225,0.33052,0.81672,0.000311563,0.000311563,0.000311563
93,2952.32,0.48639,0.30282,0.85779,0.9836,1,0.99161,0.85099,0.56476,0.31816,0.81365,0.00030125,0.00030125,0.00030125
94,2982.88,0.49506,0.30968,0.8462,0.98302,1,0.98954,0.85453,0.54809,0.33565,0.8172,0.000290937,0.000290937,0.000290937
95,3013.17,0.47248,0.29504,0.85954,0.98411,1,0.98949,0.84381,0.58081,0.33091,0.81553,0.000280625,0.000280625,0.000280625
96,3043.75,0.49137,0.30525,0.85686,0.98612,1,0.98953,0.83241,0.60793,0.33757,0.81575,0.000270313,0.000270313,0.000270313
97,3074.44,0.48517,0.3098,0.85852,0.98569,1,0.98872,0.86125,0.57278,0.31595,0.81595,0.00026,0.00026,0.00026
98,3104.75,0.47701,0.29592,0.84742,0.98505,1,0.98904,0.86561,0.58472,0.31878,0.81739,0.000249687,0.000249687,0.000249687
99,3135.33,0.45751,0.28828,0.84359,0.98424,1,0.98769,0.84888,0.57812,0.33221,0.81873,0.000239375,0.000239375,0.000239375
100,3165.76,0.4848,0.29898,0.85358,0.9847,1,0.98864,0.85322,0.57171,0.32292,0.82035,0.000229063,0.000229063,0.000229063
101,3196.46,0.4665,0.30291,0.86074,0.98444,1,0.98876,0.84328,0.59266,0.3354,0.82226,0.00021875,0.00021875,0.00021875
102,3226.85,0.48447,0.2921,0.849,0.98409,1,0.98755,0.84721,0.56893,0.32927,0.82511,0.000208438,0.000208438,0.000208438
103,3257.29,0.45874,0.28855,0.859,0.98409,1,0.98755,0.83418,0.58322,0.33397,0.82941,0.000198125,0.000198125,0.000198125
104,3287.74,0.46359,0.28464,0.84776,0.98444,1,0.98783,0.85732,0.55116,0.31696,0.81858,0.000187813,0.000187813,0.000187813
105,3318.1,0.45585,0.28596,0.85844,0.98473,1,0.98798,0.86882,0.53684,0.30993,0.81653,0.0001775,0.0001775,0.0001775
106,3348.71,0.45751,0.28389,0.84908,0.98466,1,0.98691,0.87071,0.54408,0.30001,0.81712,0.000167188,0.000167188,0.000167188
107,3379.31,0.45057,0.2879,0.85823,0.98501,1,0.98783,0.85988,0.55425,0.3055,0.81242,0.000156875,0.000156875,0.000156875
108,3409.82,0.43757,0.27576,0.83649,0.98535,1,0.98819,0.87064,0.52852,0.31327,0.81416,0.000146562,0.000146562,0.000146562
109,3440.28,0.44219,0.27389,0.85178,0.98537,1,0.9884,0.86009,0.51505,0.30794,0.81565,0.00013625,0.00013625,0.00013625
110,3470.73,0.43831,0.27886,0.85775,0.98525,1,0.9884,0.86564,0.5227,0.29398,0.81476,0.000125938,0.000125938,0.000125938
111,3501.35,0.44661,0.28033,0.85832,0.98517,1,0.98876,0.86084,0.53703,0.30113,0.81621,0.000115625,0.000115625,0.000115625
112,3531.64,0.4494,0.27964,0.85407,0.98513,1,0.98905,0.8619,0.54598,0.30527,0.8161,0.000105312,0.000105312,0.000105312
113,3562.02,0.4439,0.2684,0.85342,0.98523,1,0.98781,0.86739,0.53627,0.30785,0.81228,9.5e-05,9.5e-05,9.5e-05
114,3592.42,0.42922,0.27564,0.85506,0.98533,1,0.98802,0.85557,0.5436,0.30363,0.81086,8.46875e-05,8.46875e-05,8.46875e-05
115,3622.76,0.41877,0.2676,0.84136,0.98535,1,0.98954,0.856,0.54779,0.2904,0.81043,7.4375e-05,7.4375e-05,7.4375e-05
116,3653.15,0.42981,0.264,0.84256,0.9854,1,0.98982,0.86625,0.54561,0.29445,0.81098,6.40625e-05,6.40625e-05,6.40625e-05
117,3683.68,0.41858,0.26321,0.86283,0.98531,1,0.9884,0.86397,0.5424,0.28636,0.81044,5.375e-05,5.375e-05,5.375e-05
118,3714.14,0.43503,0.26692,0.84268,0.98551,1,0.98819,0.86478,0.54011,0.2867,0.81049,4.34375e-05,4.34375e-05,4.34375e-05
119,3744.34,0.43403,0.26445,0.85068,0.98564,1,0.98821,0.8634,0.5414,0.28539,0.81062,3.3125e-05,3.3125e-05,3.3125e-05
120,3774.84,0.43056,0.26933,0.8516,0.98559,1,0.98792,0.86287,0.54243,0.28527,0.81046,2.28125e-05,2.28125e-05,2.28125e-05
