epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,345.532,0.58095,0.47223,0.85187,0.98877,0.99764,0.995,0.7749,0.78549,0.50242,0.8794,0.000600313,0.000600313,0.000600313
44,352.961,0.60847,0.48159,0.86929,0.97922,0.97727,0.99313,0.81274,0.75454,0.48206,0.87715,0.000584844,0.000584844,0.000584844
45,360.476,0.65422,0.49667,0.86013,0.98136,0.99135,0.995,0.78264,0.79568,0.48911,0.87444,0.000569375,0.000569375,0.000569375
46,367.77,0.57078,0.46022,0.8826,0.96915,1,0.995,0.75668,0.85781,0.48304,0.86767,0.000553906,0.000553906,0.000553906
47,374.752,0.5533,0.44812,0.90528,0.96915,1,0.995,0.75668,0.85781,0.48304,0.86767,0.000538438,0.000538438,0.000538438
48,382.319,0.58746,0.49503,0.86273,0.97344,1,0.995,0.75429,0.85906,0.47385,0.86299,0.000522969,0.000522969,0.000522969
49,389.775,0.6073,0.44991,0.87075,0.9772,1,0.995,0.76663,0.8407,0.46315,0.86676,0.0005075,0.0005075,0.0005075
50,397.538,0.55698,0.45772,0.8703,0.98509,1,0.995,0.74715,0.88046,0.46678,0.87149,0.000492031,0.000492031,0.000492031
51,404.969,0.56885,0.44989,0.87583,0.98509,1,0.995,0.74715,0.88046,0.46678,0.87149,0.000476562,0.000476562,0.000476562
52,412.292,0.54732,0.42096,0.84429,0.97918,1,0.995,0.70796,0.95759,0.48452,0.87958,0.000461094,0.000461094,0.000461094
53,419.644,0.591,0.46806,0.87793,0.96906,1,0.995,0.69672,0.94753,0.48302,0.88146,0.000445625,0.000445625,0.000445625
54,426.672,0.56341,0.43217,0.85623,0.97337,1,0.995,0.73099,0.92097,0.47639,0.87805,0.000430156,0.000430156,0.000430156
55,434.505,0.53488,0.41112,0.86118,0.97337,1,0.995,0.73099,0.92097,0.47639,0.87805,0.000414688,0.000414688,0.000414688
56,441.856,0.53866,0.41365,0.84527,0.98488,1,0.995,0.73748,0.97594,0.49937,0.88594,0.000399219,0.000399219,0.000399219
57,449.313,0.59623,0.4282,0.88539,0.98979,1,0.995,0.73344,0.93135,0.50733,0.87652,0.00038375,0.00038375,0.00038375
58,457.708,0.56933,0.42828,0.8472,0.98575,1,0.995,0.73387,0.88838,0.46834,0.86871,0.000368281,0.000368281,0.000368281
59,465.853,0.5232,0.4156,0.85689,0.98575,1,0.995,0.73387,0.88838,0.46834,0.86871,0.000352812,0.000352812,0.000352812
60,473.565,0.51831,0.4052,0.82881,0.97862,1,0.995,0.74163,0.83426,0.47234,0.86128,0.000337344,0.000337344,0.000337344
61,480.875,0.5513,0.41843,0.84502,0.97238,1,0.995,0.74786,0.78703,0.43942,0.85397,0.000321875,0.000321875,0.000321875
62,488.067,0.53244,0.40592,0.84458,0.97333,1,0.995,0.76088,0.7859,0.44244,0.85677,0.000306406,0.000306406,0.000306406
63,495.25,0.49671,0.41724,0.87007,0.97333,1,0.995,0.76088,0.7859,0.44244,0.85677,0.000290937,0.000290937,0.000290937
64,502.436,0.51548,0.38921,0.86557,0.97628,1,0.995,0.78419,0.74882,0.42828,0.85797,0.000275469,0.000275469,0.000275469
